Video_Number,Date_Recorded,Hours_CI_Students,Hours_Reading,Hours_Talking,Hours_Native_Media,Time_Recorded,Length_Minutes,Total_Words,Filler_Words,Unique_Words,Avg_Word_Freq,Med_Word_Freq,Entropy,TTR
40,2024-12-06,2.5,0.25,1.5,1.25,13:16,14.75,1568,106,426,3.68075117370892,1.0,7.2555601722919105,0.2716836734693877
41,2024-12-07,0.25,0.25,0.5,1.5,22:41,12.27,1074,99,337,3.1869436201780417,1.0,7.059724223724735,0.313780260707635
42,2024-12-08,1.0,0.25,0.0,3.0,21:44,10.3,928,77,282,3.2907801418439715,1.0,7.006455961535604,0.3038793103448275
43,2024-12-09,1.0,0.5,0.0,3.25,19:45,7.15,626,61,202,3.099009900990099,1.0,6.658057304687532,0.3226837060702875
44,2024-12-10,1.5,0.25,0.0,3.25,23:05,8.53,748,73,220,3.4,1.0,6.6996803501407465,0.2941176470588235
45,2024-12-11,1.0,0.75,0.0,5.0,10:34,9.57,902,67,257,3.509727626459144,1.0,6.856971925327744,0.2849223946784922
46,2024-12-12,1.5,0.0,0.5,3.25,12:14,5.97,573,41,212,2.702830188679245,1.0,6.824071888238148,0.3699825479930192
47,2024-12-13,0.0,0.25,0.0,4.25,20:47,5.93,511,39,201,2.54228855721393,1.0,6.829368963420369,0.3933463796477495
48,2024-12-14,0.0,0.0,0.0,4.5,23:26,7.18,617,53,240,2.5708333333333333,1.0,7.006220447568131,0.3889789303079417
49,2024-12-15,0.0,0.0,0.0,5.0,22:44,6.95,659,45,221,2.981900452488688,1.0,6.817453957357476,0.3353566009104704
50,2024-12-16,0.0,0.0,0.0,5.5,19:58,10.85,942,72,290,3.2482758620689656,1.0,6.979927813824748,0.3078556263269639
51,2024-12-17,0.5,0.75,0.0,4.0,13:41,5.12,481,28,198,2.429292929292929,1.0,6.851909712481454,0.4116424116424116
52,2024-12-18,0.0,0.5,0.0,5.75,20:13,9.57,954,66,309,3.087378640776699,1.0,7.109386781660996,0.3238993710691824
53,2024-12-19,0.0,0.0,0.0,4.5,15:59,8.35,756,66,247,3.0607287449392717,1.0,6.861203774784718,0.3267195767195767
54,2024-12-20,0.0,0.0,0.0,6.25,21:34,8.48,818,67,268,3.0522388059701493,1.0,6.98074594900844,0.3276283618581907
55,2024-12-21,0.0,0.0,0.0,4.25,23:00,7.82,756,76,256,2.953125,1.0,6.765339310348816,0.3386243386243386
56,2024-12-22,0.0,0.0,0.0,5.0,22:36,7.02,662,64,223,2.968609865470852,1.0,6.804833018378029,0.3368580060422961
57,2024-12-23,0.0,0.0,0.0,4.0,23:32,8.87,808,90,248,3.2580645161290325,1.0,6.7250260484163125,0.3069306930693069
